,px,black spot,scratch,wool,all
0,0.0,1.0,1.0,1.0,1.0
1,0.001001001001001001,1.0,1.0,1.0,1.0
2,0.002002002002002002,1.0,1.0,1.0,1.0
3,0.003003003003003003,1.0,1.0,1.0,1.0
4,0.004004004004004004,1.0,1.0,1.0,1.0
5,0.005005005005005005,1.0,1.0,1.0,1.0
6,0.006006006006006006,1.0,1.0,1.0,1.0
7,0.007007007007007007,1.0,1.0,1.0,1.0
8,0.008008008008008008,1.0,1.0,1.0,1.0
9,0.009009009009009009,1.0,1.0,1.0,1.0
10,0.01001001001001001,1.0,1.0,1.0,1.0
11,0.011011011011011011,1.0,1.0,1.0,1.0
12,0.012012012012012012,1.0,1.0,1.0,1.0
13,0.013013013013013013,1.0,1.0,1.0,1.0
14,0.014014014014014014,1.0,1.0,1.0,1.0
15,0.015015015015015015,1.0,1.0,1.0,1.0
16,0.016016016016016016,1.0,1.0,1.0,1.0
17,0.017017017017017015,1.0,1.0,1.0,1.0
18,0.018018018018018018,1.0,1.0,0.9166666666666666,0.9722222222222222
19,0.01901901901901902,1.0,1.0,0.9166666666666666,0.9722222222222222
20,0.02002002002002002,1.0,1.0,0.9166666666666666,0.9722222222222222
21,0.02102102102102102,1.0,1.0,0.9166666666666666,0.9722222222222222
22,0.022022022022022022,1.0,1.0,0.9166666666666666,0.9722222222222222
23,0.023023023023023025,1.0,1.0,0.9166666666666666,0.9722222222222222
24,0.024024024024024024,1.0,1.0,0.9166666666666666,0.9722222222222222
25,0.025025025025025023,1.0,1.0,0.9166666666666666,0.9722222222222222
26,0.026026026026026026,1.0,1.0,0.9166666666666666,0.9722222222222222
27,0.02702702702702703,1.0,1.0,0.8823529411764706,0.9607843137254902
28,0.028028028028028028,1.0,1.0,0.8823529411764706,0.9607843137254902
29,0.029029029029029027,1.0,1.0,0.8823529411764706,0.9607843137254902
30,0.03003003003003003,1.0,1.0,0.8823529411764706,0.9607843137254902
31,0.031031031031031032,1.0,1.0,0.8823529411764706,0.9607843137254902
32,0.03203203203203203,1.0,1.0,0.8823529411764706,0.9607843137254902
33,0.03303303303303303,1.0,1.0,0.8823529411764706,0.9607843137254902
34,0.03403403403403403,1.0,1.0,0.8823529411764706,0.9607843137254902
35,0.035035035035035036,1.0,1.0,0.8823529411764706,0.9607843137254902
36,0.036036036036036036,1.0,1.0,0.8823529411764706,0.9607843137254902
37,0.037037037037037035,1.0,1.0,0.8695652173913043,0.9565217391304347
38,0.03803803803803804,1.0,1.0,0.8695652173913043,0.9565217391304347
39,0.03903903903903904,1.0,1.0,0.8695652173913043,0.9565217391304347
40,0.04004004004004004,1.0,1.0,0.8695652173913043,0.9565217391304347
41,0.04104104104104104,1.0,1.0,0.8695652173913043,0.9565217391304347
42,0.04204204204204204,1.0,1.0,0.8695652173913043,0.9565217391304347
43,0.043043043043043044,1.0,1.0,0.8695652173913043,0.9565217391304347
44,0.044044044044044044,1.0,1.0,0.8695652173913043,0.9565217391304347
45,0.04504504504504504,1.0,1.0,0.8695652173913043,0.9565217391304347
46,0.04604604604604605,1.0,1.0,0.8695652173913043,0.9565217391304347
47,0.04704704704704705,1.0,1.0,0.8695652173913043,0.9565217391304347
48,0.04804804804804805,1.0,1.0,0.8695652173913043,0.9565217391304347
49,0.04904904904904905,1.0,1.0,0.8461538461538461,0.9487179487179488
50,0.050050050050050046,1.0,1.0,0.8461538461538461,0.9487179487179488
51,0.05105105105105105,1.0,1.0,0.8461538461538461,0.9487179487179488
52,0.05205205205205205,1.0,1.0,0.8461538461538461,0.9487179487179488
53,0.05305305305305305,1.0,1.0,0.8461538461538461,0.9487179487179488
54,0.05405405405405406,1.0,1.0,0.8333333333333334,0.9444444444444445
55,0.055055055055055056,1.0,1.0,0.8333333333333334,0.9444444444444445
